epoch,accuracy,loss,val_accuracy,val_loss
1,0.1979999989271164,1.612375259399414,0.20999999344348907,1.609291434288025
2,0.31325000524520874,1.5654807090759277,0.21400000154972076,1.6226438283920288
3,0.5270000100135803,1.3247450590133667,0.22599999606609344,1.6774377822875977
4,0.9035000205039978,0.536862313747406,0.22200000286102295,1.7026320695877075
5,0.9972500205039978,0.06869573146104813,0.20200000703334808,1.670699119567871
6,1.0,0.016011688858270645,0.20800000429153442,1.6720290184020996
7,1.0,0.006683918181806803,0.21699999272823334,1.6517351865768433
8,1.0,0.0036894194781780243,0.22300000488758087,1.6557085514068604
9,1.0,0.002463555196300149,0.21400000154972076,1.6612911224365234
10,1.0,0.00173637003172189,0.21400000154972076,1.6536000967025757
